tag,frequency,fandom_specific,category
Takami Keigo | Hawks Acts Like a Bird,10,TRUE,Fandom
Class 1-A Friendship (My Hero Academia),10,TRUE,Fandom
Bakugou Katsuki & Midoriya Izuku are Best Friends,10,TRUE,Fandom
Protective Yagi Toshinori | All Might,10,TRUE,Fandom
Protective Midoriya Inko,9,TRUE,Fandom
Sad Midoriya Izuku,9,TRUE,Fandom
Bakugou Katsuki & Midoriya Izuku are Childhood Friends,9,TRUE,Fandom
Protective Shigaraki Tomura | Shimura Tenko,9,TRUE,Fandom
Supportive Bakusquad (My Hero Academia),9,TRUE,Fandom
Midoriya Izuku-centric,9,TRUE,Fandom
Hurt Takami Keigo | Hawks,9,TRUE,Fandom
Dabi and Todoroki Shouto Are Siblings,9,TRUE,Fandom
Midoriya Izuku Gets A Hug,9,TRUE,Fandom
Bakugou Katsuki-centric,9,TRUE,Fandom
Midoriya Izuku's Hair Is Fluffy Because It's Full Of Secrets,8,TRUE,Fandom
no beta we die like sir nighteye,8,TRUE,Fandom
Dekubowl,8,TRUE,Fandom
Bully Bakugou Katsuki,8,TRUE,Fandom
Midoriya Izuku is a Mess,8,TRUE,Fandom
Yamada Hizashi | Present Mic Adopts Midoriya Izuku,8,TRUE,Fandom
Midoriya Izuku Needs A Break,8,TRUE,Fandom
Midoriya Izuku is Not Okay,8,TRUE,Fandom
Touch-Starved Midoriya Izuku,8,TRUE,Fandom
Takami Keigo | Hawks-centric,8,TRUE,Fandom
Supportive Midoriya Inko,8,TRUE,Fandom
Todoroki Shouto is Bad at Feelings,8,TRUE,Fandom
Midoriya Izuku Gets Therapy,8,TRUE,Fandom
Jealous Bakugou Katsuki,8,TRUE,Fandom
Hero Midoriya Izuku,7,TRUE,Fandom
Insomniac Shinsou Hitoshi,7,TRUE,Fandom
Alternate Universe - Pro Heroes (My Hero Academia),7,TRUE,Fandom
Second Year Class 1-A (My Hero Academia),7,TRUE,Fandom
Protective Nedzu (My Hero Academia),7,TRUE,Fandom
Adorable Midoriya Izuku,7,TRUE,Fandom
Angry Bakugou Katsuki,7,TRUE,Fandom
Bullied Midoriya Izuku,7,TRUE,Fandom
Baby Midoriya Izuku,6,TRUE,Fandom
U.A. Dorms (My Hero Academia),6,TRUE,Fandom
Older Midoriya Izuku,6,TRUE,Fandom
Soft Aizawa Shouta | Eraserhead,6,TRUE,Fandom
tododeku - Freeform,6,TRUE,Fandom
Midoriya Izuku Has a Bad Time,6,TRUE,Fandom
Teacher Midoriya Izuku,6,TRUE,Fandom
Omega Bakugou Katsuki,6,TRUE,Fandom
Healer Midoriya Izuku,6,TRUE,Fandom
Midoriya Izuku Has A Gun,6,TRUE,Fandom
Sentient One For All Quirk (My Hero Academia),6,TRUE,Fandom
Everyone Loves Midoriya Izuku,6,TRUE,Fandom
Parental Kayama Nemuri | Midnight,6,TRUE,Fandom
Todoroki Shouto Needs a Hug,6,TRUE,Fandom
Sensei | All For One Being an Asshole,6,TRUE,Fandom
Aunt Kayama Nemuri | Midnight,6,TRUE,Fandom
Suspected Traitor Midoriya Izuku,6,TRUE,Fandom
