tag,frequency,fandom_specific,category
Bakugou Katsuki/Consequences,2,TRUE,Fandom
Quirk Side Effects (My Hero Academia),2,TRUE,Fandom
Soft Midoriya Izuku,2,TRUE,Fandom
Nedzu Knows Everything (My Hero Academia),2,TRUE,Fandom
Third Year Bakugou Katsuki,2,TRUE,Fandom
Insane Midoriya Izuku,2,TRUE,Fandom
Boku no Hero Academia | My Hero Academia Anime Spoilers,2,TRUE,Fandom
Yagi Toshinori | All Might Faces Consequences,2,TRUE,Fandom
Bisexual Midoriya Izuku,2,TRUE,Fandom
KiriBaku Week 2017,2,TRUE,Fandom
deku killing his fans: the saga,2,TRUE,Fandom
One-Sided Bakugou Katsuki/Midoriya Izuku,2,TRUE,Fandom
Runaway Midoriya Izuku,2,TRUE,Fandom
Aizawa Shouta | Eraserhead Training Midoriya Izuku,2,TRUE,Fandom
Insomniac Midoriya Izuku,2,TRUE,Fandom
Parental Fukukado Emi | Ms. Joke,2,TRUE,Fandom
Sentient Quirks (My Hero Academia),2,TRUE,Fandom
Wolf Bakugou Katsuki,2,TRUE,Fandom
Post-Kamino Ward Arc (My Hero Academia),2,TRUE,Fandom
Midoriya Izuku Sees Ghosts,2,TRUE,Fandom
Bakugou Katsuki Gets Character Development,2,TRUE,Fandom
Kaminari Denki is a Ray of Sunshine,2,TRUE,Fandom
Immortal Midoriya Izuku,2,TRUE,Fandom
Artist Midoriya Izuku,2,TRUE,Fandom
Aizawa is Tired,2,TRUE,Fandom
Quirkless Izuku,2,TRUE,Fandom
Toga Himiko is a Good Friend,2,TRUE,Fandom
Older Sibling Takami Keigo | Hawks,2,TRUE,Fandom
no beta we die like we wish mineta would,2,TRUE,Fandom
Top Todoroki Shouto,2,TRUE,Fandom
Unforeseen Simulation Joint Arc (My Hero Academia),2,TRUE,Fandom
Villain Deku,2,TRUE,Fandom
Trans Hatsume Mei,2,TRUE,Fandom
"Midoriya ""Battle Broccoli"" Izuku",2,TRUE,Fandom
Hey Horikoshi Let Me Whisper In Your Ear,2,TRUE,Fandom
Hero Killer Stain Arc (My Hero Academia),2,TRUE,Fandom
Minor Iida Tenya/Uraraka Ochako,2,TRUE,Fandom
Quirkless Hero Midoriya Izuku,2,TRUE,Fandom
Midoriya Izuku is a genius,2,TRUE,Fandom
Cult Leader Midoriya Izuku,2,TRUE,Fandom
Todoroki Shouto is a Sweetheart,2,TRUE,Fandom
Streamer Bakugou Katsuki,2,TRUE,Fandom
Gender Non-Conforming Midoriya Izuku,2,TRUE,Fandom
Autistic Hatsume Mei,2,TRUE,Fandom
Villain Yamada Hizashi | Present Mic,2,TRUE,Fandom
Sad Bakugou Katsuki,2,TRUE,Fandom
Overhaul Arc (My Hero Academia),2,TRUE,Fandom
Bakusquad Shenanigans (My Hero Academia),2,TRUE,Fandom
Barista Midoriya Izuku,2,TRUE,Fandom
Queerplatonic Tododeku,2,TRUE,Fandom
Paranoid Midoriya Izuku,2,TRUE,Fandom
Adult Midoriya Izuku,2,TRUE,Fandom
Minor Ashido Mina/Kirishima Eijirou,2,TRUE,Fandom
Gamer Shigaraki Tomura | Shimura Tenko,2,TRUE,Fandom
Izuku still gets One for All,2,TRUE,Fandom
Midoriya Izuku has anxiety,2,TRUE,Fandom
Mentor Yamada Hizashi | Present Mic,2,TRUE,Fandom
One-Sided Midoriya Izuku/Uraraka Ochako,2,TRUE,Fandom
Mineta Minoru Bashing,2,TRUE,Fandom
Yamada Hizashi | Present Mic is a Dork,2,TRUE,Fandom
Midoriya Izuku's Hero Analysis For The Future Notebooks,2,TRUE,Fandom
Yamada Hizashi | Present Mic is a Little Shit,2,TRUE,Fandom
Sadistic Midoriya Izuku,2,TRUE,Fandom
Gamer Midoriya Izuku,2,TRUE,Fandom
Vigilante Toga Himiko,2,TRUE,Fandom
Recommendation Student Midoriya Izuku,2,TRUE,Fandom
Takami Keigo | Hawks is a Good Friend,2,TRUE,Fandom
Protective Dekusquad (My Hero Academia),2,TRUE,Fandom
Protective Usagiyama Rumi | Miruko,2,TRUE,Fandom
Dabi | Todoroki Touya is a Mess,2,TRUE,Fandom
Protective Kurogiri (My Hero Academia),2,TRUE,Fandom
Izuku is a great actor,2,TRUE,Fandom
Established Midoriya Izuku/Shinsou Hitoshi,2,TRUE,Fandom
Smart Nedzu (My Hero Academia),2,TRUE,Fandom
Trans Bakugou Katsuki,2,TRUE,Fandom
Deku has a Quirk,2,TRUE,Fandom
Scary Nedzu (My Hero Academia),2,TRUE,Fandom
Third Year Class 1-A (My Hero Academia),2,TRUE,Fandom
Midoriya Izuku Deserves Better,2,TRUE,Fandom
Bakugou Katsuki is a Bad Friend,2,TRUE,Fandom
Todoroki Family Feels (My Hero Academia),2,TRUE,Fandom
Aizawa Shouta | Eraserhead is Shinsou Hitoshi's Father,2,TRUE,Fandom
Alpha Kirishima Eijirou,2,TRUE,Fandom
Good Parent Todoroki Enji | Endeavor,2,TRUE,Fandom
Kirishima Eijirou Needs a Hug,2,TRUE,Fandom
Blind Midoriya Izuku,2,TRUE,Fandom
Morally Ambiguous Aizawa Shouta | Eraserhead,2,TRUE,Fandom
Adventurer Midoriya Izuku,2,TRUE,Fandom
Poor Midoriya Izuku,2,TRUE,Fandom
no beta we die like nighteye,2,TRUE,Fandom
Midoriya Izuku & Todoroki Shouto Friendship,2,TRUE,Fandom
Mentioned Class 1-A (My Hero Academia),2,TRUE,Fandom
Midoriya Izuku is a Good Person,2,TRUE,Fandom
Bakugou Katsuki Has Issues,2,TRUE,Fandom
Todoroki Shouto is a Good Boyfriend,2,TRUE,Fandom
Sero Hanta is a Good Friend,3,TRUE,Fandom
Uraraka Ochako Has One for All Quirk,3,TRUE,Fandom
Shirakumo Oboro Lives,3,TRUE,Fandom
USJ arc,2,TRUE,Fandom
Uncle Snipe,2,TRUE,Fandom
Endeavor gets what he deserves,2,TRUE,Fandom
quirk science,2,TRUE,Fandom
UA is a University,2,TRUE,Fandom
pro heroes,2,TRUE,Fandom
Protective One For All,2,TRUE,Fandom
Protective Snipe,2,TRUE,Fandom
Pro Hero Uraraka Ochako,2,TRUE,Fandom
Protective UA Staff,2,TRUE,Fandom
Protective Shirakumo Oboro,2,TRUE,Fandom
Quirks,2,TRUE,Fandom
Heroes to Villains,2,TRUE,Fandom
School Festivals,2,TRUE,Fandom
papamic,2,TRUE,Fandom
Uraraka Ochako Needs a Hug,2,TRUE,Fandom
Mentioned Shirakumo Oboro,2,TRUE,Fandom
